figure_id,previous_priority,repair_mode,source_truth_gate,metadata_gate,numerical_boundary_gate,artifact_gate,visual_hash_gate,presentation_correctness,full_paper_equivalence,uses_proxy,numerical_evidence,remaining_boundary,script,png,pdf,script_sha256,png_sha256,pdf_sha256
4.1,P0,degenerate_surface_removed,true,true,true,true,true,pass,not_claimed,false,max phase width 0.007668351 km; degenerate geometry disclosed,"The DG target passes, but finite-amplitude torus geometry does not.",figures/fig_4_01.py,outputs/figures_png/fig_4_1.png,outputs/figures_pdf/fig_4_1.pdf,A206A1C7F3EB0B0B68EFFCF540FED0ABABEC001CC70CD2E93D0BC5F4FD038A8E,E57CFA8F4A29EA9B1EE9A3C6EBE1814FFEA26DC7D71EF891481A32ABD3F9DD4C,5247C134E93A86F6968E66E28BF7D47E6E60A23704A40170ABFA7EAB5A3BAF23
4.2,P1,digitized_overlap_and_tail_boundary,true,true,true,true,true,pass,not_claimed,false,overlap pass; tail gap 0.049450113 day,The last approximately 0.04945 day of the paper curve is uncovered.,figures/fig_4_02.py,outputs/figures_png/fig_4_2.png,outputs/figures_pdf/fig_4_2.pdf,27F71755B60CF737C3E8606D0EAB1BEE5D0F97B05900533154403DB3EB41BBC1,761BDE590CA0AE27CA646A66CCD6A66669C7F6B74FD07EC276F99F0A47192E21,1E0C7D8363B1E7F21207EB4B9CB7A6C50CAAEAABFB6F126F1630829D1C3DA6DB
4.3,P0,frozen_projection_failure_disclosure,true,true,true,true,true,pass,not_claimed,false,frozen projection holdout fail and paper_3d=false retained,Frozen paper-projection holdout fails.,figures/fig_4_03.py,outputs/figures_png/fig_4_3.png,outputs/figures_pdf/fig_4_3.pdf,4EBF7E245CC4A606221FD7207D0E3D23DD8A4F45E1FB70832FA2A79F571BEA94,49BD9826A973C0FCB7E1A2888622379691B130BF69E50897EE5F172032B24626,AF8528171B701FA6568599D8E8F24879CEA0F62B81BBACACE2C0C644D008D686
4.4,P0,frozen_projection_failure_disclosure,true,true,true,true,true,pass,not_claimed,false,frozen projection holdout fail and paper_3d=false retained,Frozen paper-projection holdout fails.,figures/fig_4_04.py,outputs/figures_png/fig_4_4.png,outputs/figures_pdf/fig_4_4.pdf,2077222E7581D4300BEBF5EE689271CC2EF67C603D5C8F8AA23011A94349E480,4C0533BD7DD3D386D460B8E1AD13688EDC50EE872DC173B40D817F1741104A4B,6123019F852DFDF4DA6721AD60A12984CC0A322F92B647DE2115BC85DBA3B9C5
4.5,P0,frozen_projection_failure_disclosure,true,true,true,true,true,pass,not_claimed,false,frozen projection holdout fail and paper_3d=false retained,Frozen paper-projection holdout fails.,figures/fig_4_05.py,outputs/figures_png/fig_4_5.png,outputs/figures_pdf/fig_4_5.pdf,9B497F306E707A95DB8A4A9981F821DDFE8BB11EB4F244A8AF971C36944F4C62,446C80C106EE6FC2505BF694A98AE5E56BAFFC5E9B9BC87FF298654426AA62B7,2F4AA07327A950339C0C305C124C341DF767AD781B31A6FA16D39B23BE2FBA89
4.6,P0,frozen_projection_failure_disclosure,true,true,true,true,true,pass,not_claimed,false,frozen projection holdout fail and paper_3d=false retained,Frozen paper-projection holdout fails.,figures/fig_4_06.py,outputs/figures_png/fig_4_6.png,outputs/figures_pdf/fig_4_6.pdf,8F794C386A173C1A7781087A32CB0F98A91DA4E2EE789F6AF28A7C4D19C1A942,4B1DD4C0EB6AE3EBBC1143D53A45F4F8B7F6F5103EBB8C5C7FFFCE62F55E7752,C92C4C1A8EC96631B88661803EA32D4D38DCCBE6E8B7B4015F25CF8EA22B43C1
4.7,P0,local_baseline_disclosure,true,true,true,true,true,pass,not_claimed,false,source-layer/boundary evidence is tracked by the per-figure audit,The dense thesis global reach/topology is not reproduced.,figures/fig_4_07.py,outputs/figures_png/fig_4_7.png,outputs/figures_pdf/fig_4_7.pdf,39B886458D6D96D97DB5E6ADEDA4CB8CEA0B8DA397997689830AFF672294C991,E0BCDFEBF3F6EDC157B858310C04DA70D4D91AA0BBDF60CA09D7871EE7F9C84D,177BF7A49F147FCB4E13F71705F04B79E60C6874319DC55912AD4F24E8E7992D
4.8,P0,local_baseline_disclosure,true,true,true,true,true,pass,not_claimed,false,source-layer/boundary evidence is tracked by the per-figure audit,The dense thesis Earthward reach/topology is not reproduced.,figures/fig_4_08.py,outputs/figures_png/fig_4_8.png,outputs/figures_pdf/fig_4_8.pdf,4CD16AA0BDF4040A7CBE0AE6C2C476A91D20C3A6D7FA704F418F349E70FAADFB,D36CEF72807C3B13F7813FBA8537F9DEFB7325E86E4343C73FAE240A00EDF2E3,7BA37C4100CDCC55A55B153F065BB788D90675FA29E7A8E4682F6F47DD238F77
5.1,P0,data_source_repaired,true,true,true,true,true,pass,not_claimed,false,one common trajectory at 325/1068/2182 days,BCR4BP/ephemeris and pointwise paper comparison remain open.,figures/fig_5_01.py,outputs/figures_png/fig_5_1.png,outputs/figures_pdf/fig_5_1.pdf,E36C5A80584B600C9550144DD023C04130128AC3AC2FA733898CC11A95A155DF,00ABFDE248036FE1D9D0F73D910E612EB6200C8F71E8D8F37C3B942FED0ECD70,3A3E444D18C8B53E8B4780C5A7E0A20924223BC505070E9EC609A2F129455B55
5.5,P0,proxy_scene_removed,true,true,true,true,true,pass,not_claimed,false,source-layer/boundary evidence is tracked by the per-figure audit,A corrected ephemeris/BCR4BP return remains open.,figures/fig_5_05.py,outputs/figures_png/fig_5_5.png,outputs/figures_pdf/fig_5_5.pdf,1A003832B6E517310015337B344A4A96E5D1E2D7F255BF02B79DCCD55E9D6F5D,01958880A4CEF5E09D5B849B182FD125F84784DB333A6A457C3BB0BB51EA35BD,2157284C6344D5C1D74B40CFB58302D0D4EF7A53E11A4071C415D507C8A26D51
5.8,P1,project_baseline_disclosure,true,true,true,true,true,pass,not_claimed,false,source-layer/boundary evidence is tracked by the per-figure audit,Thesis pointwise geometry and high-fidelity correction remain open.,figures/fig_5_08.py,outputs/figures_png/fig_5_8.png,outputs/figures_pdf/fig_5_8.pdf,A13D3E5F2FCE1172B81D5971CAE811E69428010F6A1D05826AE5C14C6019DAC1,7425C83D6DB0DF6153E73FE8244A54FF0C16BAC513C50982C544072337BB6EFD,C6569BAA23AF82B85C7662B6B12E6284E262F53D692311F966A72AD47F26E4F3
5.10,P1,numerical_vs_paper_acceptance_split,true,true,true,true,true,pass,not_claimed,false,BCR4BP numerical 2/2; paper equivalence 0/2,The paper-specific quasi-NRHO boundary states and geometry are not recovered.,figures/fig_5_10.py,outputs/figures_png/fig_5_10.png,outputs/figures_pdf/fig_5_10.pdf,1E5E3E452ECF12739E7EC5151C29A1C1D0CA4E79698179B22F004B63FE813F4D,521434A7FA65BA6417D4D7850016144B76D46FD4BA58D52CF95B17D8B3AB9F75,0AAE2A3AE4CDFC40D01C61FF77B728B7AB6CC559D65D6AF27A329509B100ED16
5.12,P0,truncated_domain_disclosure,true,true,true,true,true,pass,not_claimed,false,accepted branch right edge +11 h,The numerical branch stops at +11 h.,figures/fig_5_12.py,outputs/figures_png/fig_5_12.png,outputs/figures_pdf/fig_5_12.pdf,C81925E1D290F5ED03209A581E0707D15BA36764E829F1DF5E2B0812B7B0CFE0,2FD7CFA72B1E678F263D2DE66DDBC9E8BB11C2D74EA0D338DB5ABEE5AF360B54,EEA25F56E2D1F03F919053471CB9BFB9705BB3FA8120582500722583D0FE4290
5.13,P0,data_source_repaired,true,true,true,true,true,pass,not_claimed,false,active two-angle scan 70x16,High-fidelity correction and pointwise heat-map comparison remain open.,figures/fig_5_13.py,outputs/figures_png/fig_5_13.png,outputs/figures_pdf/fig_5_13.pdf,717B6CD8F49CDD23171028F1322D0F00490D11789CF637BACF346B9051375178,02EA37A4E0B7240CEAD049CC67ECF27F6713786F7A7F6CA9915CB339D6D0E19C,B73BC24744CEF83A95000FCBB081AF1B4E579E2F4DA602E1CAAF162BD0269C24
5.14,P0,data_source_and_target_repaired,true,true,true,true,true,pass,not_claimed,false,185-km LEO target radius 6563 km,High-fidelity BCR4BP/ephemeris correction remains open.,figures/fig_5_14.py,outputs/figures_png/fig_5_14.png,outputs/figures_pdf/fig_5_14.pdf,57CE85F67F6952673DDB85FCB7FD7291802B3BAEEBD76D74C94CF801A05CAA01,5241114B430808935DD35297B1A4375E270FD8EAE57FE3861F847CC33C406E45,ADF759678F47B67CE80AD949C1C5EE5E582E00A3D89D95AA53651108684E7295
