target_id,chapter,paper_figure_number,paper_page,pdf_page,paper_caption,caption_status,figure_type,project_title
4.2,4,Fig. 4.2,87,103,Figure 4.2. Stability index as a function of mapping time for an Earth-Moon L1 constant energy quasi-halo family (JC = 3.1389). The red point represents the stability index of the periodic halo orbit associated with this quasi-halo orbit family.,pdf_caption_block,numeric,Quasi-halo stability index versus mapping time
4.3,4,Fig. 4.3,89,105,"Figure 4.3. Unstable manifold in the +x-direction for an Earth-Moon L1 quasi-halo orbit (JC = 3.1389). Trajectories associated with one invariant curve are shown in black. A snap shot of the points are recorded after (a) 7.79 days, (b) 9.75 days, (c) 11.39 days and (d) 13.02 days.",pdf_caption_block,numeric,Quasi-halo unstable manifold in +x direction
4.4,4,Fig. 4.4,90,106,"Figure 4.4. Unstable manifold in the -x-direction for an Earth-Moon L1 quasi-halo orbit (JC = 3.1389). Trajectories associated with one invariant curve are shown in black. A snap shot of the points are recorded after (a) 7.79 days, (b) 9.75 days, (c) 11.39 days and (d) 13.02 days.",pdf_caption_block,numeric,Quasi-halo unstable manifold in -x direction
4.5,4,Fig. 4.5,91,107,"Figure 4.5. Unstable manifold in the +x-direction for an Earth-Moon L1 quasi-vertical orbit (JC = 3.1389). Trajectories associated with one invariant curve are shown in black. A snap shot of the points are recorded after (a) 8.05 days, (b) 10.08 days, (c) 11.77 days and (d) 13.46 days.",pdf_caption_block,numeric,Quasi-vertical unstable manifold in +x direction
4.6,4,Fig. 4.6,92,108,"Figure 4.6. Unstable manifold in the -x-direction for an Earth-Moon L1 quasi-vertical orbit (JC = 3.1389). Trajectories associated with one invariant curve are shown in black. A snap shot of the points are recorded after (a) 8.05 days, (b) 10.08 days, (c) 11.77 days and (d) 13.46 days.",pdf_caption_block,numeric,Quasi-vertical unstable manifold in -x direction
4.7,4,Fig. 4.7,93,109,Figure 4.7. Unstable manifold trajectories from an L1 quasi-halo orbit (red) and the unstable trajectories from the associated periodic halo orbit (black) in the Earth-Moon system.,pdf_caption_block,numeric,Quasi-halo and periodic halo manifold comparison
4.8,4,Fig. 4.8,93,109,Figure 4.8. Unstable manifold trajectories from an L1 quasi-vertical orbit (red) and the unstable trajectories from the associated periodic halo orbit (black) in the Earth-Moon system.,pdf_caption_block,numeric,Quasi-vertical and periodic halo manifold comparison
5.1,5,Fig. 5.1,96,112,"Figure 5.1. Single Sun-Earth L1 quasi-vertical trajectory propagated for (a) 325 days, (b) 1,068 days, and (c) 2,182 days.",pdf_caption_block,application,Sun-Earth L1 quasi-vertical long propagation
5.2,5,Fig. 5.2,98,114,Figure 5.2. Eclipsing geometry of the Sun and the Moon.,pdf_caption_block,schematic,Sun-Moon eclipsing geometry
5.3,5,Fig. 5.3,100,116,Figure 5.3. Earth-Moon-spacecraft line of sight geometry.,pdf_caption_block,schematic,Earth-Moon-spacecraft line-of-sight geometry
5.4,5,Fig. 5.4,101,117,Figure 5.4. Sun-Earth-Moon geometry over two lunar synodic periods,pdf_caption_block,schematic,Sun-Earth-Moon synodic geometry
5.5,5,Fig. 5.5,102,118,"Figure 5.5. Quasi-DRO with a mapping time of 14.75 days (grey) and the associated planar periodic DRO (green). A trajectory segment (blue) is propagated for 10 returns through the stroboscopic map, or 147.5 days, where the red circle indicates the beginning of the trajectory. The initial invariant curve is plotted in black",pdf_caption_block,application,Quasi-DRO and associated planar periodic DRO
5.6,5,Fig. 5.6,103,119,"Figure 5.6. Quasi-DRO trajectories converged in the Sun-Earth-Moon ephemeris model, where the insertion condition is in denoted by the red circle for (a) θ1 = 0◦, (b) θ1 = 24◦, (c) θ1 = 80◦, and (d) θ1 = 120◦. The lunar shadow is rendered in grey.",pdf_caption_block,application,Quasi-DRO ephemeris trajectories by phase
5.7,5,Fig. 5.7,104,120,"Figure 5.7. Quasi-DRO trajectories converged in the Sun-Earth-Moon ephemeris model, where the insertion condition is in denoted by the red circle. The insertion epochs for each trajectory are (a) June 1, 2020, (b) June 4, 2020, (c) June 10, 2020, and (d) June 15, 2020. The lunar shadow is rendered in grey.",pdf_caption_block,application,Quasi-DRO ephemeris trajectories by insertion epoch
5.8,5,Fig. 5.8,106,122,"Figure 5.8. (a) Originating unstable halo orbit (blue), quasi-halo orbit torus used for a transfer initial guess (grey), and the destination planar Lyapunov orbit. (b) Converged transfer from an unstable halo orbit to a planar Lyapunov orbit in the Earth-Moon system.",pdf_caption_block,application,Halo-to-Lyapunov transfer initial guess and converged transfer
5.9,5,Fig. 5.9,107,123,"Figure 5.9. Departure (blue) and destination (red) NRHOs, with two potential departure locations (light blue) that intersect the torus projection (grey).",pdf_caption_block,application,NRHOs and potential departure locations
5.10,5,Fig. 5.10,108,124,Figure 5.10. Converged transfer trajectories for (a) departure location 1 and (b) departure location 2.,pdf_caption_block,application,Converged transfer trajectories for two departure locations
5.11,5,Fig. 5.11,109,125,"Figure 5.11. Converged transfer trajectories from an rp = 12, 610 km NRHO to an rp = 4, 800 km NRHO.",pdf_caption_block,application,Converged transfer between two NRHOs
5.12,5,Fig. 5.12,109,125,Figure 5.12. Rendezvous maneuver size as a function of the time relative to the baseline arrival time.,pdf_caption_block,application,Rendezvous maneuver versus arrival time
5.13,5,Fig. 5.13,111,127,Figure 5.13. Periapsis heat map from the stable manifolds of a Sun- Earth L1 Lissajous orbit,pdf_caption_block,application,Periapsis heat map from Sun-Earth L1 stable manifolds
5.14,5,Fig. 5.14,112,128,Figure 5.14. (a) 3D view and (b) ˆxˆy projection of a transfer from LEO to quasi-periodic Sun-Earth L1 Lissajous orbit.,pdf_caption_block,application,LEO to quasi-periodic Sun-Earth L1 Lissajous transfer
