metric_id,target_id,priority_core,metric,paper_value_or_target,project_result,error_or_status,unit,evidence_artifact,evidence_type,verification_status,boundary
M0013,2.11,false,动力学/校正残差,原论文未报告（本项目验证指标）,corrected shooting residual in CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/lyapunov_l2_summary.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated periodic-orbit baseline
M0014,2.11,false,周期/相位闭合,原论文未报告（本项目验证指标）,periodicity error in CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/lyapunov_l2_summary.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated periodic-orbit baseline
M0015,2.12,false,论文目标/关键物理量,Natural and pseudo-arclength continuation,natural and pseudo-arclength continuation geometry,proxy,见字段文本；未明确者【待核实】,continuation schematic,authoritative validation/per-figure audit,proxy,示意或代理层；不得写成定量数值复现
M0016,2.13,false,论文目标/关键物理量,"Jupiter-Europa L2 Lyapunov, halo, and vertical families; mu=2.528e-5",Jupiter-Europa Lyapunov; halo; vertical families,boundary,见字段文本；未明确者【待核实】,data/computed/jupiter_europa_l2_*_family.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Compare against thesis branch amplitudes if source values are found
M0017,2.13,false,动力学/校正残差,原论文未报告（本项目验证指标）,final residuals in family CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/jupiter_europa_l2_*_family.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Compare against thesis branch amplitudes if source values are found
M0018,2.13,false,周期/相位闭合,原论文未报告（本项目验证指标）,periodicity errors in family CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/jupiter_europa_l2_*_family.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Compare against thesis branch amplitudes if source values are found
M0019,2.13,false,稳定性指标误差,见原文目标或原论文未报告,stability indices in family CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/jupiter_europa_l2_*_family.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Compare against thesis branch amplitudes if source values are found
M0020,2.14,false,论文目标/关键物理量,Earth-Moon L1 Lyapunov stable/unstable manifolds; JC=3.1827,L1 Lyapunov monodromy and stable/unstable manifolds,boundary,见字段文本；未明确者【待核实】,data/computed/lyapunov_l1_manifold_summary.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated periodic-manifold baseline
M0021,2.14,false,周期/相位闭合,原论文未报告（本项目验证指标）,periodicity error in CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/lyapunov_l1_manifold_summary.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated periodic-manifold baseline
M0022,2.14,false,稳定性指标误差,见原文目标或原论文未报告,stability index in CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/lyapunov_l1_manifold_summary.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated periodic-manifold baseline
M0023,2.15,false,论文目标/关键物理量,Earth-Moon L2 halo-family stability index; nu=(abs(lambda_max)+1/abs(lambda_max))/2; stable nu=1; unstable nu>1,L2 halo/NRHO stability branch,accepted,见字段文本；未明确者【待核实】,data/computed/earth_moon_l2_halo_stability.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0024,2.15,false,动力学/校正残差,原论文未报告（本项目验证指标）,final residuals in CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/earth_moon_l2_halo_stability.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0025,2.15,false,周期/相位闭合,原论文未报告（本项目验证指标）,periodicity errors below validation threshold,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/earth_moon_l2_halo_stability.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0026,2.15,false,稳定性指标误差,见原文目标或原论文未报告,NRHO points within 0.01 of thesis values,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/earth_moon_l2_halo_stability.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0027,3.1,false,论文目标/关键物理量,Two-dimensional torus as product of two circles,two-circle torus geometry,proxy,见字段文本；未明确者【待核实】,torus schematic,authoritative validation/per-figure audit,proxy,示意或代理层；不得写成定量数值复现
M0028,3.2,false,论文目标/关键物理量,"Invariant curve, rotation angle, and return trajectory",rotation angle and return map geometry,proxy,见字段文本；未明确者【待核实】,invariant-curve schematic,authoritative validation/per-figure audit,proxy,示意或代理层；不得写成定量数值复现
M0029,3.3,false,论文目标/关键物理量,Seven-point discretized invariant curve mapping,seven-point invariant curve map residuals,diagnostic,见字段文本；未明确者【待核实】,data/computed/earth_moon_l1_stroboscopic_curve_seed.csv,authoritative validation/per-figure audit,diagnostic,局部、部分分支或诊断性数值源层；当前未闭合项：Keep schematic status and use CSV for algorithm validation
M0030,3.3,false,动力学/校正残差,原论文未报告（本项目验证指标）,residuals in seed CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/earth_moon_l1_stroboscopic_curve_seed.csv,authoritative validation/per-figure audit,diagnostic,局部、部分分支或诊断性数值源层；当前未闭合项：Keep schematic status and use CSV for algorithm validation
M0031,3.3,false,Jacobi 一致性,原论文未报告（本项目验证指标）,jacobi drift in seed CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/earth_moon_l1_stroboscopic_curve_seed.csv,authoritative validation/per-figure audit,diagnostic,局部、部分分支或诊断性数值源层；当前未闭合项：Keep schematic status and use CSV for algorithm validation
M0032,3.4,false,论文目标/关键物理量,Patch curves for multiple-shooting torus correction,patch curves and multiple-shooting layout,proxy,见字段文本；未明确者【待核实】,torus correction schematic,authoritative validation/per-figure audit,proxy,示意或代理层；不得写成定量数值复现
M0033,3.5,true,论文目标/关键物理量,"constant-energy quasi-halo family; JC=3.1389; T0=12.03,12.09,12.26,12.40 day",JC 3.1389 quasi-halo tori,accepted,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0034,3.5,true,动力学/校正残差,原论文未报告（本项目验证指标）,7.41e-11 selected member residual,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0035,3.5,true,Jacobi 一致性,原论文未报告（本项目验证指标）,1.4e-15 temporal drift,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0036,3.5,true,数据源范围/target_jacobi,原论文未报告（当前数据源内部范围）,target_jacobi: 3.1389,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,direct CSV range,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0037,3.5,true,数据源范围/curve_residual,原论文未报告（当前数据源内部范围）,curve_residual: 8.79223004359e-13..4.68965625838e-10,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,direct CSV range,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0038,3.6,true,论文目标/关键物理量,constant-energy quasi-halo amplitude and amplitude-ratio curves; JC=3.1389,quasi-halo amplitudes versus mapping time,accepted,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0039,3.6,true,动力学/校正残差,原论文未报告（本项目验证指标）,7.41e-11 selected member residual,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0040,3.6,true,Jacobi 一致性,原论文未报告（本项目验证指标）,1.4e-15 temporal drift,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0041,3.6,true,数据源范围/target_jacobi,原论文未报告（当前数据源内部范围）,target_jacobi: 3.1389,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,direct CSV range,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0042,3.6,true,数据源范围/curve_residual,原论文未报告（当前数据源内部范围）,curve_residual: 8.79223004359e-13..4.68965625838e-10,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,direct CSV range,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0043,3.7,true,论文目标/关键物理量,"constant-energy quasi-vertical family; JC=3.1389; T0=12.87,12.85,12.78,12.66 day",JC 3.1389 quasi-vertical tori,boundary,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Continue thesis endpoint comparison if source values appear
M0044,3.7,true,动力学/校正残差,原论文未报告（本项目验证指标）,4.98e-10 selected member residual,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Continue thesis endpoint comparison if source values appear
M0045,3.7,true,Jacobi 一致性,原论文未报告（本项目验证指标）,1.4e-15 temporal drift,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Continue thesis endpoint comparison if source values appear
M0046,3.7,true,数据源范围/target_jacobi,原论文未报告（当前数据源内部范围）,target_jacobi: 3.1389,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,direct CSV range,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Continue thesis endpoint comparison if source values appear
M0047,3.7,true,数据源范围/curve_residual,原论文未报告（当前数据源内部范围）,curve_residual: 1.04322463905e-12..1.32525380843e-09,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,direct CSV range,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Continue thesis endpoint comparison if source values appear
M0048,3.8,true,论文目标/关键物理量,constant-energy quasi-vertical amplitude and amplitude-ratio curves; JC=3.1389,quasi-vertical amplitudes versus mapping time,boundary,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Continue thesis endpoint comparison if source values appear
M0049,3.8,true,动力学/校正残差,原论文未报告（本项目验证指标）,4.98e-10 selected member residual,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Continue thesis endpoint comparison if source values appear
M0050,3.8,true,Jacobi 一致性,原论文未报告（本项目验证指标）,1.4e-15 temporal drift,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Continue thesis endpoint comparison if source values appear
M0051,3.8,true,数据源范围/target_jacobi,原论文未报告（当前数据源内部范围）,target_jacobi: 3.1389,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,direct CSV range,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Continue thesis endpoint comparison if source values appear
M0052,3.8,true,数据源范围/curve_residual,原论文未报告（当前数据源内部范围）,curve_residual: 1.04322463905e-12..1.32525380843e-09,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,direct CSV range,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Continue thesis endpoint comparison if source values appear
M0053,3.9,true,论文目标/关键物理量,frequency ratio versus mapping time for constant-energy quasi-halo and quasi-vertical families; JC=3.1389,frequency ratio versus mapping time,diagnostic,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_*_family.csv,authoritative validation/per-figure audit,diagnostic,局部、部分分支或诊断性数值源层；当前未闭合项：Replace remaining quasi-halo tail proxy with continued numerical branch
M0054,3.9,true,动力学/校正残差,原论文未报告（本项目验证指标）,curve residuals in family CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_*_family.csv,authoritative validation/per-figure audit,diagnostic,局部、部分分支或诊断性数值源层；当前未闭合项：Replace remaining quasi-halo tail proxy with continued numerical branch
M0055,3.9,true,Jacobi 一致性,原论文未报告（本项目验证指标）,jacobi span in family CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_*_family.csv,authoritative validation/per-figure audit,diagnostic,局部、部分分支或诊断性数值源层；当前未闭合项：Replace remaining quasi-halo tail proxy with continued numerical branch
M0056,3.9,true,数据源范围/target_jacobi,原论文未报告（当前数据源内部范围）,target_jacobi: 3.1389,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,direct CSV range,diagnostic,局部、部分分支或诊断性数值源层；当前未闭合项：Replace remaining quasi-halo tail proxy with continued numerical branch
M0057,3.9,true,数据源范围/curve_residual,原论文未报告（当前数据源内部范围）,curve_residual: 8.79223004359e-13..4.68965625838e-10,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,direct CSV range,diagnostic,局部、部分分支或诊断性数值源层；当前未闭合项：Replace remaining quasi-halo tail proxy with continued numerical branch
M0058,3.10,true,论文目标/关键物理量,"Earth-Moon period-2, period-3, and period-8 halo examples",q=2/q=3/q=8 Earth-Moon CR3BP period-q halo examples; strict single-shoot accepted rows 2; local multiple-shooting accepted rows 3; q8 max multiplier 3.431052642945378e+16,diagnostic,见字段文本；未明确者【待核实】,data/computed/period_q_halo_examples.csv;data/computed/period_q_halo_closure_audit.csv;data/computed/chapter3_period_q_per_figure_audit.csv,authoritative validation/per-figure audit,diagnostic,q=2、q=3 通过严格单步闭合审计；q=8 仅保留局部多步打靶接受，其单步全周期闭合误差为 3.906984451743337，不能升级为稳健周期闭合。
M0059,3.10,true,动力学/校正残差,原论文未报告（本项目验证指标）,worst local multiple-shooting residual 7.654092149144291e-14; local accepted rows 3,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/period_q_halo_examples.csv;data/computed/period_q_halo_closure_audit.csv;data/computed/chapter3_period_q_per_figure_audit.csv,authoritative validation/per-figure audit,diagnostic,q=2、q=3 通过严格单步闭合审计；q=8 仅保留局部多步打靶接受，其单步全周期闭合误差为 3.906984451743337，不能升级为稳健周期闭合。
M0060,3.10,true,Jacobi 一致性,原论文未报告（本项目验证指标）,worst local trajectory Jacobi drift 4.440892098500626e-15,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/period_q_halo_examples.csv;data/computed/period_q_halo_closure_audit.csv;data/computed/chapter3_period_q_per_figure_audit.csv,authoritative validation/per-figure audit,diagnostic,q=2、q=3 通过严格单步闭合审计；q=8 仅保留局部多步打靶接受，其单步全周期闭合误差为 3.906984451743337，不能升级为稳健周期闭合。
M0061,3.10,true,周期/相位闭合,原论文未报告（本项目验证指标）,worst strict single-shoot closure 5.188337924828195e-09; q8 single-shoot closure 3.906984451743337,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/period_q_halo_examples.csv;data/computed/period_q_halo_closure_audit.csv;data/computed/chapter3_period_q_per_figure_audit.csv,authoritative validation/per-figure audit,diagnostic,q=2、q=3 通过严格单步闭合审计；q=8 仅保留局部多步打靶接受，其单步全周期闭合误差为 3.906984451743337，不能升级为稳健周期闭合。
M0062,3.10,true,稳定性指标误差,见原文目标或原论文未报告,q8 high-instability boundary recorded by monodromy multiplier; do not use q8 single-shoot closure as accepted periodic evidence,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/period_q_halo_examples.csv;data/computed/period_q_halo_closure_audit.csv;data/computed/chapter3_period_q_per_figure_audit.csv,authoritative validation/per-figure audit,diagnostic,q=2、q=3 通过严格单步闭合审计；q=8 仅保留局部多步打靶接受，其单步全周期闭合误差为 3.906984451743337，不能升级为稳健周期闭合。
M0063,3.10,true,数据源范围/jacobi,原论文未报告（当前数据源内部范围）,jacobi: 3.0202383987..3.12398324356,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/period_q_halo_examples.csv,direct CSV range,diagnostic,q=2、q=3 通过严格单步闭合审计；q=8 仅保留局部多步打靶接受，其单步全周期闭合误差为 3.906984451743337，不能升级为稳健周期闭合。
M0064,3.10,true,数据源范围/bifurcation_jacobi,原论文未报告（当前数据源内部范围）,bifurcation_jacobi: 3.02161924773..3.12933107175,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/period_q_halo_examples.csv,direct CSV range,diagnostic,q=2、q=3 通过严格单步闭合审计；q=8 仅保留局部多步打靶接受，其单步全周期闭合误差为 3.906984451743337，不能升级为稳健周期闭合。
M0065,3.11,false,论文目标/关键物理量,Poincare map and central periodic orbits; JC=3.1389; section z=0,Poincare map and central periodic orbits,diagnostic,见字段文本；未明确者【待核实】,data/computed/earth_moon_l1_central_periodic_scene.csv,authoritative validation/per-figure audit,diagnostic,局部、部分分支或诊断性数值源层；当前未闭合项：Replace remaining section-island shape assumptions with thesis map data
M0066,3.11,false,动力学/校正残差,原论文未报告（本项目验证指标）,residuals in scene CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/earth_moon_l1_central_periodic_scene.csv,authoritative validation/per-figure audit,diagnostic,局部、部分分支或诊断性数值源层；当前未闭合项：Replace remaining section-island shape assumptions with thesis map data
M0067,3.11,false,周期/相位闭合,原论文未报告（本项目验证指标）,periodicity in scene CSV,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/earth_moon_l1_central_periodic_scene.csv,authoritative validation/per-figure audit,diagnostic,局部、部分分支或诊断性数值源层；当前未闭合项：Replace remaining section-island shape assumptions with thesis map data
M0068,3.12,true,论文目标/关键物理量,"constant-frequency quasi-halo family; omega1/omega0=9.441; JC=3.1182,3.0876,3.0364,3.0011",L2 constant-frequency quasi-halo tori,accepted,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_frequency_families.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0069,3.12,true,动力学/校正残差,原论文未报告（本项目验证指标）,6.98e-08 final curve residual,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_frequency_families.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0070,3.12,true,Jacobi 一致性,原论文未报告（本项目验证指标）,4.62e-08 Jacobi span,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_frequency_families.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0071,3.12,true,数据源范围/target_jacobi,原论文未报告（当前数据源内部范围）,target_jacobi: 3.0011..3.1182,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_frequency_families.csv,direct CSV range,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0072,3.12,true,数据源范围/base_jacobi,原论文未报告（当前数据源内部范围）,base_jacobi: 3.04377092937..3.12009591246,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_frequency_families.csv,direct CSV range,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0073,3.13,true,论文目标/关键物理量,constant-frequency quasi-halo amplitude and JC curves; omega1/omega0=9.441,L2 quasi-halo amplitudes and Jacobi trend,accepted,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_frequency_families.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0074,3.13,true,动力学/校正残差,原论文未报告（本项目验证指标）,6.98e-08 final curve residual,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_frequency_families.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0075,3.13,true,Jacobi 一致性,原论文未报告（本项目验证指标）,4.62e-08 Jacobi span,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_frequency_families.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0076,3.13,true,数据源范围/target_jacobi,原论文未报告（当前数据源内部范围）,target_jacobi: 3.0011..3.1182,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_frequency_families.csv,direct CSV range,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0077,3.13,true,数据源范围/base_jacobi,原论文未报告（当前数据源内部范围）,base_jacobi: 3.04377092937..3.12009591246,从当前 CSV 直接计算 min/max；不外推,按 CSV 列定义；未明确者【待核实】,data/computed/chapter3_corrected_constant_frequency_families.csv,direct CSV range,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
M0078,3.14,true,论文目标/关键物理量,"constant-frequency quasi-vertical family; omega1/omega0=9.441; JC=3.0433,3.0387,3.0305,3.0291",L2 constant-frequency quasi-vertical tori,accepted,见字段文本；未明确者【待核实】,data/computed/chapter3_corrected_constant_frequency_families.csv,authoritative validation/per-figure audit,accepted,按当前项目审计门槛定量通过；不自动声明与原作者离散节点逐点等价
