figure_id,source_page,pdf_page,figure_type,title,script,acceptance_tier,target_status,paper_targets,source_type,current_repro_level,uses_proxy,validation_artifact,next_action
3.3,49,65,schematic,Seven-point discretized invariant curve mapping,figures/fig_3_03.py,V0,schematic_semantics_recorded,Seven-point discretized invariant curve mapping,explicit,proxy/schematic only,partial,data/computed/earth_moon_l1_stroboscopic_curve_seed.csv,Keep schematic status and use CSV for algorithm validation
3.4,62,78,schematic,Patch curves for multiple-shooting torus correction,figures/fig_3_04.py,V0,schematic_semantics_recorded,Patch curves for multiple-shooting torus correction,explicit,proxy/schematic only,true,torus correction schematic,No numerical upgrade needed
3.5,68,84,numeric,"Constant-energy quasi-halo tori, JC=3.1389",figures/fig_3_05.py,V2,explicit_parameters_recorded,"constant-energy quasi-halo family; JC=3.1389; T0=12.03,12.09,12.26,12.40 day",explicit,numerical reproduction,false,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,Continue only if exact thesis continuation states become available
3.6,69,85,numeric,Constant-energy quasi-halo amplitudes,figures/fig_3_06.py,V2,explicit_parameters_recorded,constant-energy quasi-halo amplitude and amplitude-ratio curves; JC=3.1389,explicit,numerical reproduction,false,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,Continue high-amplitude tail validation if needed
3.7,70,86,numeric,"Constant-energy quasi-vertical tori, JC=3.1389",figures/fig_3_07.py,V2,explicit_parameters_recorded,"constant-energy quasi-vertical family; JC=3.1389; T0=12.87,12.85,12.78,12.66 day",explicit,numerical reproduction,false,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,Continue thesis endpoint comparison if source values appear
3.8,71,87,numeric,Constant-energy quasi-vertical amplitudes,figures/fig_3_08.py,V2,explicit_parameters_recorded,constant-energy quasi-vertical amplitude and amplitude-ratio curves; JC=3.1389,explicit,numerical reproduction,false,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,Continue thesis endpoint comparison if source values appear
3.9,71,87,numeric,Frequency ratio versus mapping time,figures/fig_3_09.py,V2,explicit_parameters_recorded,frequency ratio versus mapping time for constant-energy quasi-halo and quasi-vertical families; JC=3.1389,explicit,shape-match with local numerical overlay,partial,data/computed/chapter3_corrected_*_family.csv,Replace remaining quasi-halo tail proxy with continued numerical branch
3.10,72,88,numeric,"Period-2, period-3, and period-8 halo examples",figures/fig_3_10.py,V2,explicit_parameters_recorded,"Earth-Moon period-2, period-3, and period-8 halo examples",explicit,period-q multiple-shooting audit with q8 boundary,partial,data/computed/period_q_halo_examples.csv;data/computed/period_q_halo_closure_audit.csv;data/computed/chapter3_period_q_per_figure_audit.csv,Promote q=8 only after a robust high-instability single-shoot validation path or an alternate closure audit is accepted.
3.11,73,89,numeric,Poincare map and central periodic orbits,figures/fig_3_11.py,V2,explicit_parameters_recorded,Poincare map and central periodic orbits; JC=3.1389; section z=0,explicit,shape-match with local numerical overlay,partial,data/computed/earth_moon_l1_central_periodic_scene.csv,Replace remaining section-island shape assumptions with thesis map data
3.12,76,92,numeric,Constant-frequency quasi-halo tori,figures/fig_3_12.py,V2,explicit_parameters_recorded,"constant-frequency quasi-halo family; omega1/omega0=9.441; JC=3.1182,3.0876,3.0364,3.0011",explicit,numerical reproduction,false,data/computed/chapter3_corrected_constant_frequency_families.csv,Refine spectral tolerance if exact thesis values are required
3.13,77,93,numeric,Constant-frequency quasi-halo amplitudes and Jacobi constant,figures/fig_3_13.py,V2,explicit_parameters_recorded,constant-frequency quasi-halo amplitude and JC curves; omega1/omega0=9.441,explicit,numerical reproduction,false,data/computed/chapter3_corrected_constant_frequency_families.csv,Refine spectral tolerance if exact thesis values are required
3.14,78,94,numeric,Constant-frequency quasi-vertical tori,figures/fig_3_14.py,V2,explicit_parameters_recorded,"constant-frequency quasi-vertical family; omega1/omega0=9.441; JC=3.0433,3.0387,3.0305,3.0291",explicit,numerical reproduction,false,data/computed/chapter3_corrected_constant_frequency_families.csv,Compare final endpoint against thesis table if available
3.15,79,95,numeric,Constant-frequency quasi-vertical Jacobi constant and mapping time,figures/fig_3_15.py,V2,explicit_parameters_recorded,constant-frequency quasi-vertical JC and mapping-time curves; omega1/omega0=9.441,explicit,numerical reproduction,false,data/computed/chapter3_corrected_constant_frequency_families.csv,Compare final endpoint against thesis table if available
3.16,82,98,numeric,Constant-mapping-time quasi-DRO tori,figures/fig_3_16.py,V2,explicit_parameters_recorded,"constant-mapping-time quasi-DRO tori; T0=14.74 day; JC=2.9225,2.9221,2.9215,2.9212",explicit,audited Route H fixed-time source-layer,false,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv;data/computed/mccarthy2018_staged_goal_gate_status.csv;data/computed/chapter3_fixed_mapping_cache_audit.csv,Keep Route H as the accepted CR3BP fixed-time source layer; only upgrade the full-thesis equivalence claim if original McCarthy branch data or author code become available
3.17,83,99,numeric,Quasi-DRO amplitude and Jacobi constant versus rotation angle,figures/fig_3_17.py,V2,explicit_parameters_recorded,constant-mapping-time quasi-DRO z-amplitude and JC versus rho; T0=14.74 day; digitized rho about 1.436..1.510,explicit,audited Route H fixed-time source-layer,partial,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv;data/computed/mccarthy2018_staged_goal_gate_status.csv;data/computed/chapter3_fixed_mapping_cache_audit.csv,"Use Route H for the accepted fixed-time source branch; keep the reference trend and digitized curve as lower-authority comparison, not raw branch data"
4.1,86,102,numeric,Earth-Moon L2 quasi-halo orbit and DG eigenstructure,figures/fig_4_01.py,V2,explicit_parameters_recorded,Earth-Moon L2 quasi-halo; JC=3.044; N=25; stability index nu=1.3837,explicit,shape-match with corrected DG numerical overlay,partial,data/computed/chapter4_corrected_curve_dg.csv;data/computed/chapter4_manifold_validation.csv;outputs/figures_png/fig_4_1.png;outputs/figures_pdf/fig_4_1.pdf,Use corrected DG rows for source-layer claims; only promote to exact thesis replacement with original branch-scale comparison.
4.2,87,103,numeric,Quasi-halo stability index versus mapping time,figures/fig_4_02.py,V2,explicit_parameters_recorded,L1 constant-energy quasi-halo stability index versus T0; JC=3.1389; include associated periodic halo anchor,explicit,shape-match with corrected DG numerical overlay,partial,data/computed/chapter4_corrected_l1_constant_energy_halo_dg_family.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_high_order_dg.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_pseudo_arclength_dg.csv;data/computed/chapter4_corrected_vertical_curve_dg.csv;outputs/figures_png/fig_4_2.png;outputs/figures_pdf/fig_4_2.pdf,Continue corrected families or compare against original stability indices if source data is found.
4.3,89,105,numeric,Quasi-halo unstable manifold in +x direction,figures/fig_4_03.py,V2,explicit_parameters_recorded,"L1 quasi-halo +x unstable manifold; JC=3.1389; snapshots=7.79,9.75,11.39,13.02 day",explicit,corrected DG finite-amplitude manifold source layer,partial,data/computed/chapter4_corrected_l1_constant_energy_halo_unstable_manifolds.csv;data/computed/chapter4_manifold_validation.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_dg_family.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_high_order_dg.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_pseudo_arclength_dg.csv;data/computed/chapter4_corrected_vertical_curve_dg.csv;outputs/figures_png/fig_4_3.png;outputs/figures_pdf/fig_4_3.pdf,Continue the corrected branch to a denser thesis-scale global torus manifold.
4.4,90,106,numeric,Quasi-halo unstable manifold in -x direction,figures/fig_4_04.py,V2,explicit_parameters_recorded,"L1 quasi-halo -x unstable manifold; JC=3.1389; snapshots=7.79,9.75,11.39,13.02 day",explicit,corrected DG finite-amplitude manifold source layer,partial,data/computed/chapter4_corrected_l1_constant_energy_halo_unstable_manifolds.csv;data/computed/chapter4_manifold_validation.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_dg_family.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_high_order_dg.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_pseudo_arclength_dg.csv;data/computed/chapter4_corrected_vertical_curve_dg.csv;outputs/figures_png/fig_4_4.png;outputs/figures_pdf/fig_4_4.pdf,Continue the corrected branch to a denser thesis-scale global torus manifold.
4.5,91,107,numeric,Quasi-vertical unstable manifold in +x direction,figures/fig_4_05.py,V2,explicit_parameters_recorded,"L1 quasi-vertical +x unstable manifold; JC=3.1389; snapshots=8.05,10.08,11.77,13.46 day",explicit,local corrected DG manifold source layer,partial,data/computed/chapter4_corrected_vertical_curve_unstable_manifold_plus.csv;data/computed/chapter4_manifold_validation.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_dg_family.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_high_order_dg.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_pseudo_arclength_dg.csv;data/computed/chapter4_corrected_vertical_curve_dg.csv;outputs/figures_png/fig_4_5.png;outputs/figures_pdf/fig_4_5.pdf,Promote from local branch diagnostic to continued thesis-scale vertical manifold.
4.6,92,108,numeric,Quasi-vertical unstable manifold in -x direction,figures/fig_4_06.py,V2,explicit_parameters_recorded,"L1 quasi-vertical -x unstable manifold; JC=3.1389; snapshots=8.05,10.08,11.77,13.46 day",explicit,local corrected DG manifold source layer,partial,data/computed/chapter4_corrected_vertical_curve_unstable_manifold_minus.csv;data/computed/chapter4_manifold_validation.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_dg_family.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_high_order_dg.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_pseudo_arclength_dg.csv;data/computed/chapter4_corrected_vertical_curve_dg.csv;outputs/figures_png/fig_4_6.png;outputs/figures_pdf/fig_4_6.pdf,Promote from local branch diagnostic to continued thesis-scale vertical manifold.
4.7,93,109,numeric,Quasi-halo and periodic halo manifold comparison,figures/fig_4_07.py,V2,explicit_parameters_recorded,L1 quasi-halo unstable manifold compared with associated periodic halo manifold,explicit,corrected DG manifold source layer with proxy comparison,partial,data/computed/chapter4_corrected_l1_constant_energy_halo_unstable_manifolds.csv;data/computed/chapter4_manifold_validation.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_dg_family.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_high_order_dg.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_pseudo_arclength_dg.csv;data/computed/chapter4_corrected_vertical_curve_dg.csv;outputs/figures_png/fig_4_7.png;outputs/figures_pdf/fig_4_7.pdf,Extend the corrected quasi-halo sheet across a thesis-scale continued torus family.
4.8,93,109,numeric,Quasi-vertical and periodic halo manifold comparison,figures/fig_4_08.py,V2,explicit_parameters_recorded,L1 quasi-vertical unstable manifold compared with associated periodic-orbit manifold,explicit,corrected DG global manifold source layer with proxy comparison,partial,data/computed/chapter4_corrected_vertical_global_unstable_manifold.csv;data/computed/chapter4_manifold_validation.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_dg_family.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_high_order_dg.csv;data/computed/chapter4_corrected_l1_constant_energy_halo_pseudo_arclength_dg.csv;data/computed/chapter4_corrected_vertical_curve_dg.csv;outputs/figures_png/fig_4_8.png;outputs/figures_pdf/fig_4_8.pdf,Continue the source quasi-vertical torus family before treating the global sheet as thesis-equivalent.
5.1,96,112,application,Sun-Earth L1 quasi-vertical long propagation,figures/fig_5_01.py,V2,explicit_parameters_recorded,"single corrected Sun-Earth L1 quasi-vertical trajectory propagated 325,1068,2182 day",explicit,CR3BP Sun-Earth L1 long-propagation audit,partial,data/computed/chapter5_sun_earth_l1_cr3bp_long_propagation.csv;data/computed/chapter5_sun_earth_l1_long_propagation_per_figure_audit.csv;data/computed/chapter5_upstream_application_gate_audit.csv;outputs/figures_png/fig_5_1.png;outputs/figures_pdf/fig_5_1.pdf,Replace proxy torus context with corrected two-frequency Lissajous/quasi-periodic family or BCR4BP/ephemeris evidence before thesis-equivalence claims.
5.2,98,114,schematic,Sun-Moon eclipsing geometry,figures/fig_5_02.py,V0,schematic_semantics_recorded,Sun-Moon eclipsing geometry,explicit,proxy/schematic only,true,geometry schematic;outputs/figures_png/fig_5_2.png;outputs/figures_pdf/fig_5_2.pdf,No numerical upgrade needed unless the thesis artwork must be redrawn exactly.
5.3,100,116,schematic,Earth-Moon-spacecraft line-of-sight geometry,figures/fig_5_03.py,V0,schematic_semantics_recorded,Earth-Moon-spacecraft line-of-sight geometry,explicit,proxy/schematic only,true,geometry schematic;outputs/figures_png/fig_5_3.png;outputs/figures_pdf/fig_5_3.pdf,No numerical upgrade needed unless the thesis artwork must be redrawn exactly.
5.4,101,117,schematic,Sun-Earth-Moon synodic geometry,figures/fig_5_04.py,V0,schematic_semantics_recorded,Sun-Earth-Moon synodic geometry,explicit,proxy/schematic only,true,geometry schematic;outputs/figures_png/fig_5_4.png;outputs/figures_pdf/fig_5_4.pdf,No numerical upgrade needed unless the thesis artwork must be redrawn exactly.
5.5,102,118,application,Quasi-DRO and associated planar periodic DRO,figures/fig_5_05.py,V2,explicit_parameters_recorded,quasi-DRO T0=14.75 day; planar DRO rp=73800 km; 10 returns=147.5 day; planar LOS outage about 2.3 h/rev; quasi-DRO zero outage,explicit,physical-consistency baseline,false,data/computed/chapter5_corrected_dro_quasi_dro_return.csv;data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv;outputs/figures_png/fig_5_5.png;outputs/figures_pdf/fig_5_5.pdf,Promote only after a corrected ephemeris or BCR4BP return arc is accepted for this specific figure.
5.6,103,119,application,Quasi-DRO ephemeris trajectories by phase,figures/fig_5_06.py,V2,explicit_parameters_recorded,"DE421 Sun-Earth-Moon ephemeris-corrected quasi-DRO; epoch=2020-06-15; insertion phase=0,24,80,120 deg",explicit,Route H / DE421 geometry baseline,false,data/computed/chapter5_de421_quasi_dro_scenes.csv;data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv;data/computed/chapter5_upstream_application_gate_audit.csv;outputs/figures_png/fig_5_6.png;outputs/figures_pdf/fig_5_6.pdf,Add ephemeris/BCR4BP defect correction before claiming original application-figure replacement.
5.7,104,120,application,Quasi-DRO ephemeris trajectories by insertion epoch,figures/fig_5_07.py,V2,explicit_parameters_recorded,"DE421 Sun-Earth-Moon ephemeris-corrected quasi-DRO; insertion epochs=2020-06-01,04,10,15",explicit,Route H / DE421 geometry baseline,false,data/computed/chapter5_de421_quasi_dro_scenes.csv;data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv;data/computed/chapter5_upstream_application_gate_audit.csv;outputs/figures_png/fig_5_7.png;outputs/figures_pdf/fig_5_7.pdf,Add ephemeris/BCR4BP defect correction before claiming original application-figure replacement.
5.8,106,122,application,Halo-to-Lyapunov transfer initial guess and converged transfer,figures/fig_5_08.py,V2,explicit_parameters_recorded,halo-to-Lyapunov transfer; delta-v=139.4+4.0=143.4 m/s; TOF=186.9 day,explicit,CR3BP endpoint-corrected halo-Lyapunov transfer audit,partial,data/computed/chapter5_earth_moon_halo_lyapunov_transfer_baseline.csv;data/computed/chapter5_halo_lyapunov_transfer_per_figure_audit.csv;data/computed/chapter5_bcr4bp_dynamics_audit.csv;data/computed/chapter5_bcr4bp_segment_correction_audit.csv;data/computed/chapter5_optimized_transfer_audit.csv;outputs/figures_png/fig_5_8.png;outputs/figures_pdf/fig_5_8.pdf,Promote further only after BCR4BP/ephemeris correction or original thesis transfer data are mapped to this specific Fig. 5.8 geometry.
5.9,107,123,application,NRHOs and potential departure locations,figures/fig_5_09.py,V2,explicit_parameters_recorded,"northern L2 NRHO rp=4800,12610 km; stability index=1.5425,1.1762; corrected quasi-NRHO corridor intersections",explicit,CR3BP corrected NRHO corridor marker audit,partial,data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv;data/computed/chapter5_nrho_corridor_per_figure_audit.csv;data/computed/chapter5_bcr4bp_dynamics_audit.csv;data/computed/chapter5_bcr4bp_segment_correction_audit.csv;data/computed/chapter5_optimized_transfer_audit.csv;outputs/figures_png/fig_5_9.png;outputs/figures_pdf/fig_5_9.pdf,Replace the grey corridor with corrected quasi-NRHO torus or BCR4BP/ephemeris corridor data before thesis-equivalence claims.
5.10,108,124,application,Converged transfer trajectories for two departure locations,figures/fig_5_10.py,V2,explicit_parameters_recorded,"transfer 1: 48.3+32.2=80.5 m/s, TOF=23 day; transfer 2: 51.3+35.3=86.6 m/s, TOF=12.4 day",explicit,CR3BP endpoint-corrected NRHO transfer audit,false,data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv;data/computed/chapter5_nrho_transfer_per_figure_audit.csv;data/computed/chapter5_bcr4bp_dynamics_audit.csv;data/computed/chapter5_bcr4bp_segment_correction_audit.csv;data/computed/chapter5_optimized_transfer_audit.csv;outputs/figures_png/fig_5_10.png;outputs/figures_pdf/fig_5_10.pdf,Promote further only after the specific Fig. 5.10 transfer is corrected in BCR4BP/ephemeris and compared to thesis delta-v.
5.11,109,125,application,Converged transfer between two NRHOs,figures/fig_5_11.py,V2,explicit_parameters_recorded,CR3BP-symmetric reverse transfers from rp=12610 km NRHO to rp=4800 km NRHO using accepted Fig.5.10 solutions,explicit,CR3BP endpoint-corrected NRHO transfer audit,false,data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv;data/computed/chapter5_nrho_transfer_per_figure_audit.csv;data/computed/chapter5_bcr4bp_dynamics_audit.csv;data/computed/chapter5_bcr4bp_segment_correction_audit.csv;data/computed/chapter5_optimized_transfer_audit.csv;outputs/figures_png/fig_5_11.png;outputs/figures_pdf/fig_5_11.pdf,Promote further only after the specific Fig. 5.11 transfer is corrected in BCR4BP/ephemeris and compared to thesis delta-v.
5.12,109,125,application,Rendezvous maneuver versus arrival time,figures/fig_5_12.py,V2,explicit_parameters_recorded,rendezvous delta-v versus arrival offset; baseline=80.5 m/s; offset=-24..24 h; minimum near -6.5 h,explicit,CR3BP fixed-departure rendezvous branch audit,partial,data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv;data/computed/chapter5_nrho_rendezvous_per_figure_audit.csv;outputs/figures_png/fig_5_12.png;outputs/figures_pdf/fig_5_12.pdf,Replace the remaining grey proxy region with a robust global quasi-NRHO continuation or high-fidelity ephemeris branch before thesis-equivalence claims.
5.13,111,127,application,Periapsis heat map from Sun-Earth L1 stable manifolds,figures/fig_5_13.py,V2,explicit_parameters_recorded,Sun-Earth L1 two-frequency Lissajous torus; z=940000 km; y=660000 km; at least 3500 torus points; candidate periapsis about 7033 km,explicit,CR3BP stable-manifold periapsis audit,partial,data/computed/chapter5_sun_earth_stable_manifold_baseline.csv;data/computed/chapter5_stable_manifold_per_figure_audit.csv;outputs/figures_png/fig_5_13.png;outputs/figures_pdf/fig_5_13.pdf,Replace proxy heat-map layer with a dense computed two-angle quasi-periodic manifold scan before claiming thesis-equivalent replacement.
5.14,112,128,application,LEO to quasi-periodic Sun-Earth L1 Lissajous transfer,figures/fig_5_14.py,V2,explicit_parameters_recorded,stable-manifold transfer to 185 km LEO (geocentric radius 6563 km); zero deterministic insertion maneuver after departure,explicit,CR3BP stable-manifold LEO transfer audit,partial,data/computed/chapter5_sun_earth_l1_cr3bp_long_propagation.csv;data/computed/chapter5_stable_manifold_per_figure_audit.csv;data/computed/chapter5_sun_earth_stable_manifold_baseline.csv;outputs/figures_png/fig_5_14.png;outputs/figures_pdf/fig_5_14.pdf,Add BCR4BP/ephemeris correction and quasi-periodic Lissajous endpoint matching before promoting this original figure.
