scope,gate_id,requirement,status,metric,value,threshold,evidence_artifact,decision,notes
chapter4,C4-ROUTE-H-FIGURE-SOURCE,The Route H Chapter 4 source-layer must have regenerated PNG/PDF figure artifacts before being treated as a figure-source deliverable.,not_run_or_fail,route_h_figure_png_bytes,345125,> 0 and PDF exists,outputs/figures_png/fig_4_route_h.png;outputs/figures_pdf/fig_4_route_h.pdf;data/computed/chapter4_per_figure_source_layer_audit.csv,run_fig_4_route_h_quasi_dro,This figure is a Route H quasi-DRO Chapter 4 source-layer artifact; it is separate from the corrected fixed-time full-torus L1 evidence for Fig. 4.3-4.6 and the legacy comparison boundary for Fig. 4.7-4.8.
chapter4,C4-PER-FIGURE-SOURCE-LAYER-AUDIT,Chapter 4 source-layer evidence must be mapped back to each original Fig. 4.1-4.8 and separated from the derived Route H quasi-DRO source-layer figure.,pass,original_chapter4_figure_rows,8,8 original rows plus one derived Route H source-layer row,data/computed/chapter4_per_figure_source_layer_audit.csv;docs/chapter4_per_figure_source_layer_audit.md,use_per_figure_chapter4_status_table,Per-figure audit maps 8 original Chapter 4 figures and 1 derived source-layer figure(s); the Route H quasi-DRO source layer is not counted as a direct replacement for original L1 quasi-halo/vertical thesis figures.
chapter5,C5-UPSTREAM-HIGH-FIDELITY-DATA,Chapter 5 high-fidelity/optimization figures require reliable Chapter 3 and Chapter 4 upstream data.,blocked_by_chapter4,chapter3_figure_source_frontier_max_abs_z_km,14573.10318409037,>= 10500.0,docs/chapter3_quasi_dro_frontier_decision.md;data/computed/chapter5_upstream_application_gate_audit.csv;data/computed/chapter5_high_fidelity_optimization_readiness_audit.csv;data/computed/chapter5_per_figure_source_layer_audit.csv,wait_for_chapter4_regeneration,"Chapter 3 is available through Route H, but Chapter 5 remains gated until Chapter 4 manifold regeneration is complete."
chapter5,C5-ROUTE-H-DE421-BASELINE,Chapter 5 DE421-oriented quasi-DRO baseline figures should use the accepted Route H upstream member.,pass,fig_5_6_png_bytes,588057,> 0 and Fig. 5.7 exists,data/computed/chapter5_upstream_application_gate_audit.csv;outputs/figures_png/fig_5_6.png;outputs/figures_png/fig_5_7.png,route_h_de421_baseline_available,This is an application baseline upgrade only; it is not BCR4BP or optimized-transfer reproduction.
chapter5,C5-HIGH-FIDELITY-OPTIMIZATION,Chapter 5 high-fidelity/optimization completion requires accepted BCR4BP/ephemeris correction or optimized transfer audit rows.,pass,missing_high_fidelity_capabilities,0,0 for completed high-fidelity/optimization layer,data/computed/chapter5_upstream_application_gate_audit.csv;docs/chapter5_upstream_application_gate_audit.md;data/computed/chapter5_high_fidelity_optimization_readiness_audit.csv;docs/chapter5_high_fidelity_optimization_readiness_audit.md;data/computed/chapter5_sun_earth_l1_long_propagation_per_figure_audit.csv;data/computed/chapter5_halo_lyapunov_transfer_per_figure_audit.csv;data/computed/chapter5_nrho_corridor_per_figure_audit.csv;data/computed/chapter5_nrho_transfer_per_figure_audit.csv;data/computed/chapter5_nrho_rendezvous_per_figure_audit.csv;data/computed/chapter5_stable_manifold_per_figure_audit.csv;data/computed/chapter5_per_figure_source_layer_audit.csv;docs/chapter5_per_figure_source_layer_audit.md;outputs/figures_png/fig_5_bcr4bp_optimized_transfer.png;outputs/figures_pdf/fig_5_bcr4bp_optimized_transfer.pdf,chapter5_high_fidelity_optimization_source_layer_ready,"Chapter 5 high-fidelity/optimization source layer now has accepted Route H/BCR4BP dynamics, defect-correction, optimized-transfer rows, and rendered optimization figure artifacts."
chapter5,C5-HALO-LYAPUNOV-PER-FIGURE-TRANSFER-AUDIT,"Figure 5.8 should have a per-figure halo-to-Lyapunov transfer row with endpoint, continuity, delta-v, Jacobi, and periodicity evidence before being promoted beyond generic overlay status.",pass,accepted_halo_lyapunov_transfer_rows,1,>= 1 accepted row covering Fig. 5.8,data/computed/chapter5_halo_lyapunov_transfer_per_figure_audit.csv;docs/chapter5_halo_lyapunov_transfer_per_figure_audit.md,use_halo_lyapunov_per_figure_transfer_row,"Accepted row is an Earth-Moon CR3BP equal-Jacobi multiple-shooting transfer; it records delta-v, endpoint defect, continuity, and Jacobi evidence but does not claim BCR4BP/ephemeris replacement."
chapter5,C5-SUN-EARTH-L1-LONG-PROPAGATION-AUDIT,"Figure 5.1 should have CR3BP long-propagation rows with duration, spatial extent, and Jacobi-conservation evidence before being promoted beyond visual overlay status.",not_run_or_incomplete,accepted_l1_long_propagation_rows,3,>= 5 accepted rows with duration >= 70 days and Jacobi span <= 1e-10,data/computed/chapter5_sun_earth_l1_long_propagation_per_figure_audit.csv;docs/chapter5_sun_earth_l1_long_propagation_per_figure_audit.md,run_chapter5_sun_earth_l1_long_propagation_per_figure_audit,Accepted rows are local Sun-Earth L1 CR3BP center-mode propagations; the plotted torus context remains proxy and does not claim corrected two-frequency Lissajous or BCR4BP/ephemeris equivalence.
chapter5,C5-NRHO-CORRIDOR-PER-FIGURE-AUDIT,"Figure 5.9 should have corrected NRHO boundary/departure-marker rows with endpoint, delta-v, Jacobi, periodicity, and radius evidence before being promoted beyond visual overlay status.",pass,accepted_nrho_corridor_marker_rows,2,>= 2 accepted rows covering Fig. 5.9 with endpoint <= 1e-3 km and Jacobi span <= 1e-8,data/computed/chapter5_nrho_corridor_per_figure_audit.csv;docs/chapter5_nrho_corridor_per_figure_audit.md,use_nrho_corridor_per_figure_marker_rows,Accepted rows are CR3BP corrected-boundary departure-marker rows; the grey corridor remains a linear corrected-boundary bridge and does not claim corrected quasi-NRHO torus or BCR4BP/ephemeris equivalence.
chapter5,C5-STABLE-MANIFOLD-PER-FIGURE-AUDIT,"Figures 5.13 and 5.14 should have per-figure stable-manifold rows with periapsis targeting, transfer time, Jacobi span, and periodicity evidence before being promoted beyond generic overlay status.",pass,accepted_stable_manifold_rows,2,>= 2 accepted rows covering Fig. 5.13 and Fig. 5.14,data/computed/chapter5_stable_manifold_per_figure_audit.csv;docs/chapter5_stable_manifold_per_figure_audit.md,use_stable_manifold_per_figure_rows,Accepted rows are Sun-Earth CR3BP stable-manifold baseline rows; they record periapsis targeting and transfer-scene evidence but do not claim full quasi-periodic Lissajous-torus or ephemeris replacement.
chapter5,C5-NRHO-PER-FIGURE-TRANSFER-AUDIT,"Figures 5.10 and 5.11 should have per-figure accepted transfer rows with endpoint error, delta-v, and Jacobi-span evidence before being promoted beyond generic baseline status.",pass,accepted_nrho_transfer_rows,4,>= 4 accepted rows covering Fig. 5.10 and Fig. 5.11,data/computed/chapter5_nrho_transfer_per_figure_audit.csv;docs/chapter5_nrho_transfer_per_figure_audit.md,use_nrho_per_figure_transfer_rows,Accepted rows are CR3BP endpoint-corrected direct-shooting transfers; they record per-figure delta-v and endpoint defects but do not claim BCR4BP/ephemeris high-fidelity thesis replacement.
chapter5,C5-FIG510-BCR4BP-TRANSFER-AUDIT,"Figure 5.10 should have two DE421-initialized planar BCR4BP corrections with independent propagation, absolute-time segment validation, deterministic rerun evidence, and a separate paper-equivalence gate.",pass,numerically_accepted_bcr4bp_cases,2,"2/2 numerical, 0/2 paper equivalent, independent endpoint <= 1e-3 km, absolute segment time, nonempty PNG/PDF, deterministic rerun",data/computed/chapter5_fig510_bcr4bp_transfer_audit.csv;docs/chapter5_fig510_bcr4bp_transfer_audit.md;docs/chapter5_fig510_bcr4bp_independent_rerun_audit.md;outputs/diagnostics/fig_5_10_bcr4bp_extension.png;outputs/diagnostics/fig_5_10_bcr4bp_extension.pdf,use_fig510_bcr4bp_extension_with_paper_boundary,"Numerical acceptance is 2/2; paper equivalence is 0/2; maximum independent endpoint error is 4.819078391415363e-05 km. Passing this gate accepts the project BCR4BP extension only; the project-selected epoch, CR3BP NRHO boundary states, impulse mismatch, and missing pointwise thesis geometry remain explicit boundaries."
chapter5,C5-NRHO-RENDEZVOUS-PER-FIGURE-AUDIT,"Figure 5.12 should have a per-figure fixed-departure rendezvous branch with arrival-offset coverage, delta-v variation, and endpoint residual evidence before being promoted beyond proxy overlay status.",pass,accepted_nrho_rendezvous_rows,36,">= 35 accepted rows covering Fig. 5.12 with left <= -20 h, right >= 10 h, endpoint <= 1e-3 km",data/computed/chapter5_nrho_rendezvous_per_figure_audit.csv;docs/chapter5_nrho_rendezvous_per_figure_audit.md,use_nrho_rendezvous_per_figure_branch,"Accepted rows span -24 to 11 hours with worst endpoint 3.714687617288433e-05 km; this is a local CR3BP arrival-offset branch, not a thesis global quasi-NRHO or ephemeris replacement."
chapter5,C5-PER-FIGURE-SOURCE-LAYER-AUDIT,Chapter 5 aggregate source-layer gates must be mapped back to each original Fig. 5.1-5.14 before status is reported.,pass,original_chapter5_figure_rows,14,14 original rows plus one derived optimized-transfer source-layer row,data/computed/chapter5_per_figure_source_layer_audit.csv;docs/chapter5_per_figure_source_layer_audit.md,use_per_figure_chapter5_status_table,Per-figure audit maps 14 original Chapter 5 figures and 1 derived source-layer figure(s); the optimized-transfer source layer is not counted as a direct replacement for every original thesis figure.
goal,STAGED-GOAL-STATUS,Advance all three fronts or record bounded blockers with CSV evidence.,chapter3_passed_chapter4_ready,chapter3_gate_passes,True,True,data/computed/mccarthy2018_staged_goal_gate_status.csv;docs/chapter3_quasi_dro_frontier_decision.md,continue_to_chapter4_regeneration,Current evidence unlocks Chapter 4 regeneration but does not complete Chapter 4/5 upgrades.
