figure_id,algorithm_status,image_status,algorithm_or_role,evidence,reason
3.15,success,correct_after_fix,constant-frequency quasi-vertical parameter curves,data/computed/chapter3_corrected_constant_frequency_families.csv,All 25 members pass the vertical-family gates and the x-axis now uses the real 0-to-24 continuation indices.
3.16,success,correct,Route H fixed-mapping quasi-DRO continuation,data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv,Thirty accepted rows reach 14573.1 km with maximum map residual 6.47e-10; the hybrid zero-cache reconstruction also passes.
3.17,partial,correct_with_explicit_boundary,Route H trend curves with reference context,figures/fig_3_17.py,The numerical Route H layer is valid but faint thesis-scale curves remain explicitly labeled proxy context.
4.1,partial,correct_with_explicit_boundary,torus DG spectrum and stability index,data/computed/chapter4_per_figure_source_layer_audit.csv,The DG target passes but the displayed source torus is near-periodic and does not validate finite-amplitude torus geometry.
4.2,success,correct,quasi-halo DG stability family,data/computed/chapter4_per_figure_source_layer_audit.csv,Sixteen numerical rows pass and the digitized overlap interval passes; missing paper-tail coverage is irrelevant to algorithm correctness.
4.3,success,correct,fixed-time full-torus halo manifold snapshots,data/computed/chapter4_per_figure_source_layer_audit.csv,All four state-space and local-STM rows pass; paper-camera mismatch is not treated as an algorithm failure.
4.4,success,correct,fixed-time full-torus halo manifold snapshots,data/computed/chapter4_per_figure_source_layer_audit.csv,All four state-space and local-STM rows pass; paper-camera mismatch is not treated as an algorithm failure.
4.5,success,correct,fixed-time full-torus vertical manifold snapshots,data/computed/chapter4_per_figure_source_layer_audit.csv,All four state-space and local-STM rows pass; paper-camera mismatch is not treated as an algorithm failure.
4.6,success,correct,fixed-time full-torus vertical manifold snapshots,data/computed/chapter4_per_figure_source_layer_audit.csv,All four state-space and local-STM rows pass; paper-camera mismatch is not treated as an algorithm failure.
4.7,partial,correct_local_result,DG quasi-halo manifold comparison,data/computed/chapter4_per_figure_source_layer_audit.csv,Residual Jacobi and local growth gates pass but dense global reach and topology are not reproduced.
4.8,partial,correct_local_result,DG quasi-vertical manifold comparison,data/computed/chapter4_per_figure_source_layer_audit.csv,Residual Jacobi and local growth gates pass but dense Earthward global reach and topology are not reproduced.
5.1,success,correct,CR3BP invariant-torus long-time shadowing,data/computed/chapter5_per_figure_source_layer_audit.csv,One common initial phase is used at exactly 325 1068 and 2182 days and the active geometry audit is accepted.
5.2,schematic,correct_schematic,Sun-Moon eclipse geometry,figures/fig_5_02.py,No numerical algorithm is claimed or required.
5.3,schematic,correct_schematic,Earth-Moon-spacecraft line-of-sight geometry,figures/fig_5_03.py,No numerical algorithm is claimed or required.
5.4,schematic,correct_schematic,Sun-Earth-Moon synodic geometry,figures/fig_5_04.py,No numerical algorithm is claimed or required.
5.5,success,correct,corrected CR3BP DRO/quasi-DRO return,data/computed/chapter5_per_figure_source_layer_audit.csv,The plotted torus uses audited Route H data and no proxy surface; ephemeris equivalence is not required here.
5.6,partial,correct_geometry_only,Route H orbit embedded in a DE421-oriented frame,data/computed/chapter5_per_figure_source_layer_audit.csv,The frame geometry is valid but it is not a defect-corrected ephemeris trajectory.
5.7,partial,correct_geometry_only,DE421-oriented eclipse and occultation geometry,data/computed/chapter5_per_figure_source_layer_audit.csv,The event geometry is valid but it is not a defect-corrected ephemeris trajectory.
5.8,success,correct,CR3BP halo-to-Lyapunov multiple-shooting transfer,data/computed/chapter5_halo_lyapunov_transfer_per_figure_audit.csv,Endpoint error is 2.08e-6 km continuity is 9.28e-12 and Jacobi span is 2.47e-12.
5.9,success,correct,corrected CR3BP NRHO family and departure markers,data/computed/chapter5_nrho_corridor_per_figure_audit.csv,Sixteen periodic members are corrected with maximum periodicity error 1.69e-10 and marker-transfer gates pass.
5.10,success,correct,CR3BP transfer plus planar BCR4BP correction,data/computed/chapter5_fig510_bcr4bp_transfer_audit.csv,Both BCR4BP cases pass independent endpoint and absolute-time segment checks.
5.11,success,correct,endpoint-corrected CR3BP NRHO transfers,data/computed/chapter5_nrho_transfer_per_figure_audit.csv,Two reverse-symmetry cases pass with worst endpoint error 2.34e-5 km and Jacobi span 5.09e-11.
5.12,partial,correct_on_truncated_domain,fixed-departure CR3BP rendezvous scan,data/computed/chapter5_nrho_rendezvous_per_figure_audit.csv,Thirty-six accepted rows cover -24 through +11 hours; no values are claimed beyond the computed fold.
5.13,success,correct,two-angle Sun-Earth L1 stable-manifold periapsis scan,data/computed/chapter5_stable_manifold_per_figure_audit.csv,The full active two-angle source and 162 propagated trajectories reach the 7033-km target within 1.03 km.
5.14,success,correct,Sun-Earth L1 stable-manifold transfer to LEO,data/computed/chapter5_stable_manifold_per_figure_audit.csv,The active-geometry transfer reaches the 6563-km reference radius within 1.53 km with Jacobi span 1.17e-12.
