"figure_id","current_grade","current_status","audit_class","evidence_basis","key_finding","likely_cause","minimal_fix","mentor_facing_action","comparison_asset"
"3.16","B","boundary","P0_OBVIOUS_MISMATCH","visual+source","原图四个平滑准 DRO 环面被画成绿色多边形/线框结构，几何尺度和族演化明显不同。","Route H 当前分支范围窄，且线框渲染放大了离散节点结构。","先核对四个 JC 锚点的完整二维曲面，再采用闭合平滑表面并匹配论文尺度。","修复前标为明显不等价。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_16_comparison.png"
"3.17","C","diagnostic partial","P1_MATERIAL_PARTIAL","visual+source+metadata","真实 Route H 仅覆盖窄 rho/振幅范围，大部分论文趋势由 proxy 参考线提供；登记表 uses_proxy=false。","目标分支尚未延拓到论文范围，且元数据未同步。","先修正 proxy 标记；继续真实分支延拓并逐段替换参考线。","只能作为研究进度图。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_17_comparison.png"
"4.1","B","boundary","P0_OBVIOUS_MISMATCH","measured+source+visual","左侧准 halo 曲面在固定 time_index 的相位跨度最大仅约 1.99e-8 nd（约 7.7 m），实质退化为单轨道；原图是有限厚度环面。","选中的 N=25 成员是近周期小振幅解，DG 谱通过但几何源失败。","保持 DG 谱证据，重新延拓有限振幅准 halo，并增加相位方向最小宽度/二维秩门槛。","面板 (a) 修复前不得称数值复现。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_4_1_comparison.png"
"4.2","B","boundary","P1_MATERIAL_PARTIAL","visual+source","稳定性趋势接近，但分支尾端较论文短约 0.049 d，未覆盖完整范围。","可用源分支提前终止。","继续尾端延拓；在完成前保留显式覆盖边界。","可带边界展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_4_2_comparison.png"
"4.3","B","boundary","P0_OBVIOUS_MISMATCH","frozen_holdout+visual","四个 +x 准 halo 不稳定流形投影与原图显著不同；冻结投影 holdout 为 0/4 通过。","状态空间源虽可接受，但论文投影、片层形状和相机等价未通过。","保持冻结 holdout，不调参越界；从源族/流形传播本身修复后重新做独立 holdout。","明确标为 paper_projection=fail。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_4_3_comparison.png"
"4.4","B","boundary","P0_OBVIOUS_MISMATCH","frozen_holdout+visual","四个 -x 准 halo 不稳定流形投影与原图显著不同；冻结投影 holdout 为 0/4 通过。","状态空间源与论文投影片层不等价。","保持冻结 holdout；修复源族和流形传播后再测。","明确标为 paper_projection=fail。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_4_4_comparison.png"
"4.5","B","boundary","P0_OBVIOUS_MISMATCH","frozen_holdout+visual","+x 准垂直流形的片层形状、卷曲与原图不一致；冻结投影门槛未通过。","源族/不稳定方向/传播片层与论文目标不等价。","从源级别修复，禁止仅调相机掩盖差异。","明确标为 paper_projection=fail。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_4_5_comparison.png"
"4.6","B","boundary","P0_OBVIOUS_MISMATCH","frozen_holdout+visual","-x 准垂直流形的片层形状、卷曲与原图不一致；冻结投影门槛未通过。","源族/不稳定方向/传播片层与论文目标不等价。","从源级别修复，禁止仅调相机掩盖差异。","明确标为 paper_projection=fail。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_4_6_comparison.png"
"4.7","B","boundary","P0_OBVIOUS_MISMATCH","visual+source","原图为致密、长距离的全局流形；复现仅有稀疏短弧，Earthward 覆盖和拓扑明显不足。","当前仅生成局部数值片层，传播时长/相位覆盖不足。","扩展全环相位采样和传播时长，建立全局包络/到达范围门槛。","修复前标为局部基线，非论文复现。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_4_7_comparison.png"
"4.8","B","boundary","P0_OBVIOUS_MISMATCH","visual+source","原图为致密全局准垂直流形；复现是稀疏局部束，整体包络不同。","传播范围与相位覆盖不足。","扩展全局传播并核对正负不稳定方向和包络。","修复前标为局部基线。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_4_8_comparison.png"
"5.1","B","boundary","P0_OBVIOUS_MISMATCH","paper_caption+code+measured","论文是同一条轨迹分别传播 325/1068/2182 天；脚本却在同一 60×60 表面上分别画 1/8/18 条相位曲线，未使用三个传播时长。表面第二维的中位跨度仅约为主方向的 1e-5。","实现目标理解错误，且存储表面近似秩一。","依据论文旋转角/映射时间算法生成一条轨迹的三个累计传播时段，并用真实二维 active-geometry 环面作背景。","当前图必须撤下。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_1_comparison.png"
"5.2","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","日月食几何关系表达清楚，属于示意图。","有意示意化。","保留 proxy 标签。","可作为概念图。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_2_comparison.png"
"5.3","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","地月航天器视线几何关系表达清楚，属于示意图。","有意示意化。","保留 proxy 标签。","可作为概念图。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_3_comparison.png"
"5.4","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","朔望周期几何语义一致，属于示意图。","有意示意化。","保留 proxy 标签。","可作为概念图。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_4_comparison.png"
"5.5","B","boundary","P0_OBVIOUS_MISMATCH","code+metadata+visual","主图使用巨大的通用代理环面，真实校正准 DRO 只放在小插图；脚本 NOTES 明写 Proxy thesis-scale torus，但登记表 uses_proxy=false。","代理主场景与真实局部数值场景混合，证据元数据失真。","主图完全改用校正 Route H 准 DRO/周期 DRO/10 次返回轨迹，并将现有版本立即标 proxy。","当前图必须撤下或改名为概念示意。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_5_comparison.png"
"5.6","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","四个相位轨迹的整体形状与原图相近，但不是论文相同历元/高保真模型。","采用项目 CR3BP/简化源层。","保留模型边界；若升级则使用论文历元和 ephemeris 校正。","可带边界展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_6_comparison.png"
"5.7","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","四个插入历元轨迹的总体变化与原图接近。","历元和模型并非论文严格等价。","保留边界；后续做 ephemeris 对齐。","可带边界展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_7_comparison.png"
"5.8","B","boundary","P1_MATERIAL_PARTIAL","visual+source","出发 halo/到达 Lyapunov 与转移弧的概念存在，但灰色边界面、弧束结构和到达拓扑与原图有实质差异。","当前项目转移解并非论文同一边界状态和逐点几何。","锁定论文出发/到达状态，分别验证初猜和校正转移的端点及几何。","只能作为项目基线展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_8_comparison.png"
"5.9","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","两条 NRHO 及出发位置的几何关系与原图接近。","代表成员和相机不同。","低优先级匹配论文节点和视角。","可带边界展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_9_comparison.png"
"5.10","B","boundary","P1_MATERIAL_PARTIAL","paper_gate+visual","两幅转移图外观接近，但项目 BCR4BP 数值验收为 2/2、论文等价门槛为 0/2，不能混为一谈。","采用项目选定历元/边界状态，缺少论文逐点几何。","保留 2/2 numerical 和 0/2 paper-equivalent 双标签，补论文状态/历元后再升级。","只能以项目数值扩展展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_10_comparison.png"
"5.11","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","两条 NRHO 和两组转移方向与原图接近，未见明显拓扑错误。","仍是项目 CR3BP 边界状态。","保留模型边界并补论文端点对齐。","可带边界展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_11_comparison.png"
"5.12","B","boundary","P0_OBVIOUS_MISMATCH","code+measured+visual","复现仅覆盖 -24 至 +11 h，纵向变化约 -6.0 至 34.8 m/s；原图覆盖约 -24 至 +24 h，左端达到约 220 m/s。","当前直接射击分支在 +11 h 折叠，尚未复现论文全局分支。","继续全局 continuation/高保真分支；不得用插值补齐。","当前图只能标为截断局部分支，不应称原图复现。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_12_comparison.png"
"5.13","B","boundary","P0_OBVIOUS_MISMATCH","code+measured+provenance","绘图脚本读取旧 lissajous 扫描，第二相位方向平均标准差仅 1.47 km，而第一相位方向为 146580 km，比例约 1e-5，导致竖条纹；审计表却引用 active-geometry 扫描。","renderer 与 accepted evidence 脱节，旧源的第二相位几乎不起作用。","改为读取 active-geometry 二相位扫描（其两方向变异比约 1.03），重绘并重新绑定审计证据。","当前图必须撤下，现有通过状态无效。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_13_comparison.png"
"5.14","B","boundary","P0_OBVIOUS_MISMATCH","code+provenance+visual","绘图脚本仍读取旧 60×60 退化环面和旧 lissajous LEO transfer，审计表却引用 active_geometry_leo_transfer；转移与到达环面拓扑和原图明显不同。","renderer 与当前验收源文件不一致。","让脚本直接读取 active-geometry 环面 checkpoint/导出和 active_geometry_leo_transfer.csv，重画后重新做几何比较。","当前图必须撤下，现有证据链不成立。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_5_14_comparison.png"
